"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 7"
"https://www.google.com/maps/place/Accel+Professional+Corporation,+CPAs/data=!4m7!3m6!1s0x53716f90baa92d05:0xfd6737639869400!8m2!3d51.0619105!4d-114.0620664!16s%2Fg%2F11b5whzkgh!19sChIJBS2pupBvcVMRAJSGOXZz1g8?authuser=0&hl=en&rclk=1","Accel Professional Corporation, CPAs","4.8","(113)","Chartered accountant","·","·","Open","⋅ Closes 5 p.m.","1110 Centre a St NE #204","(403) 265-7818","http://accelcpa.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Prompt, efficient and professional in filing tax return for us.""","","·"
"https://www.google.com/maps/place/CLBN+LLP+Chartered+Professional+Accountants/data=!4m7!3m6!1s0x5486718189b86519:0x2b9fb47e75734f77!8m2!3d49.2638221!4d-123.138978!16s%2Fg%2F1tmk85pm!19sChIJGWW4iYFxhlQRd09zdX60nys?authuser=0&hl=en&rclk=1","CLBN LLP Chartered Professional Accountants","4.8","(26)","Accounting firm","·","·","Open","⋅ Closes 6 p.m.","1501 W Broadway Suite 410","(604) 628-4803","https://clbn.ca/?utm_source=GMB&utm_medium=Website&utm_campaign=GMBWebsite","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They took care of all my companies financial needs.""","","·"
"https://www.google.com/maps/place/WYCPA+LLP/data=!4m7!3m6!1s0x5486752f43a24fc1:0x1afaca611e1de725!8m2!3d49.1819553!4d-123.1343841!16s%2Fg%2F1tfrgg3r!19sChIJwU-iQy91hlQRJecdHmHK-ho?authuser=0&hl=en&rclk=1","WYCPA LLP","5.0","(12)","Certified public accountant","·","4311 Hazelbridge Wy #2040","Open","⋅ Closes 6 p.m.","·","(604) 278-3326","https://www.wycpa.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Aaron helped me fix up my 2019, 2020, and 2021 tax returns today!""","",""
"https://www.google.com/maps/place/Advanced+Tax+Services+Inc,+CPA/data=!4m7!3m6!1s0x5486750e7346c9d3:0x38dde3c378fdde12!8m2!3d49.1837565!4d-123.0946638!16s%2Fg%2F1tz712n3!19sChIJ08lGcw51hlQREt79eMPj3Tg?authuser=0&hl=en&rclk=1","Advanced Tax Services Inc, CPA","5.0","(114)","Accounting firm","·","·","Open","⋅ Closes 6 p.m.","11590 Cambie Rd. #235","(604) 227-9698","https://advancedtax.ca/accountant-richmond-bc/?utm_campaign=gmb","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He was professional, knowledgeable, and super thorough with my tax matters.""","","·"
"https://www.google.com/maps/place/RidgeWood+CPA/data=!4m7!3m6!1s0x80f7af781171758b:0x13a57c3de27c38fc!8m2!3d49.2790657!4d-122.8435268!16s%2Fg%2F11xmggr7g2!19sChIJi3VxEXiv94AR_Dh84j18pRM?authuser=0&hl=en&rclk=1","RidgeWood CPA","5.0","(26)","Accounting firm","·","3012 Murray St","Open","⋅ Closes 4:30 p.m.","·","(604) 603-5458","https://www.ridgewoodcpa.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Fantastic","",""
"https://www.google.com/maps/place/ICC+Accounting+Services+Inc./data=!4m7!3m6!1s0x5485d9ee457e2391:0xda2baa2ce995e827!8m2!3d49.1618525!4d-122.8330836!16s%2Fg%2F11bvt8kf9n!19sChIJkSN-Re7ZhVQRJ-iV6SyqK9o?authuser=0&hl=en&rclk=1","ICC Accounting Services Inc.","4.7","(242)","Accountant","·","8740 140a St","Open","⋅ Closes 6:30 p.m.","·","(778) 895-7444","https://iccaccounting.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Hassle free tax filing and the staff were professional and helpful.""","",""
"https://www.google.com/maps/place/Duggal+Professional+Corporation+CPA-Accountant+and+Tax+Consultant/data=!4m7!3m6!1s0x53a01c0662a4ee5d:0xd4b9b092c9085494!8m2!3d53.5024169!4d-113.4983009!16s%2Fg%2F11ckqnb4rg!19sChIJXe6kYgYcoFMRlFQIyZKwudQ?authuser=0&hl=en&rclk=1","Duggal Professional Corporation CPA-Accountant and Tax Consultant","5.0","(120)","Accountant","·","·","Open","⋅ Closes 5 p.m.","6536 104 Street NW","(587) 882-3120","http://taxcounting.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He provides great advice on accounting issues.""","","·"
"https://www.google.com/maps/place/Phillet+%26+McLennan+Chartered+Accountants/data=!4m7!3m6!1s0x53a023da713c51ef:0xb4e339488f0acca7!8m2!3d53.5888361!4d-113.4914857!16s%2Fg%2F1tmpvnp6!19sChIJ71E8cdojoFMRp8wKj0g547Q?authuser=0&hl=en&rclk=1","Phillet & McLennan Chartered Accountants","5.0","(13)","Certified public accountant","·","12959 97 St NW","Open now","·","","(780) 429-0460","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Work always done on time.""","",""
"https://www.google.com/maps/place/Prospect+CPA+Inc./data=!4m7!3m6!1s0x5486722cec222f47:0xadc3d1db2032e2b4!8m2!3d49.2836867!4d-123.1121995!16s%2Fg%2F11btt84kb0!19sChIJRy8i7CxyhlQRtOIyINvRw60?authuser=0&hl=en&rclk=1","Prospect CPA Inc.","5.0","(14)","Certified public accountant","·","·","Open","⋅ Closes 5 p.m.","422 Richards St #170","(604) 704-0270","http://www.prospectcpa.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Thank you for great and fast service with income tax return.""","","·"
"https://www.google.com/maps/place/Jiwan+Dhillon+%26+Co+Inc+-+Chartered+Professional+Accountants/data=!4m7!3m6!1s0x5485d982a551762f:0xd66c374df0a8260b!8m2!3d49.146999!4d-122.8671348!16s%2Fg%2F1td9_cjr!19sChIJL3ZRpYLZhVQRCyao8E03bNY?authuser=0&hl=en&rclk=1","Jiwan Dhillon & Co Inc - Chartered Professional Accountants","4.9","(44)","Accountant","·","·","Open","⋅ Closes 5:30 p.m.","12830 80 Ave Unit #211","(604) 592-0602","http://jiwandhillon.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He doesn't nickel and dime for his advice.""","","·"
"https://www.google.com/maps/place/Argento+CPA/data=!4m7!3m6!1s0x548671775b41626b:0x26c89b0683584185!8m2!3d49.2835343!4d-123.1053311!16s%2Fg%2F11cm0lxhf4!19sChIJa2JBW3dxhlQRhUFYgwabyCY?authuser=0&hl=en&rclk=1","Argento CPA","4.9","(159)","Accounting firm","·","36 Water St","Open","⋅ Closes 5 p.m.","·","(604) 306-0165","http://argentocpa.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""She made the process smooth with the help of Argento's online tools.""","",""
"https://www.google.com/maps/place/Evera+Chartered+Professional+Accountants/data=!4m7!3m6!1s0x54844a9dc9682e05:0x83fdcabefe7a830b!8m2!3d49.0689578!4d-122.3595345!16s%2Fg%2F11b66cwtll!19sChIJBS5oyZ1KhFQRC4N6_r7K_YM?authuser=0&hl=en&rclk=1","Evera Chartered Professional Accountants","4.9","(119)","Accountant","·","3710 Townline Rd #210","Open","⋅ Closes 4 p.m.","·","(604) 853-6423","http://www.evera.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He's done a stellar job managing both my business and personal taxes.""","",""
"https://www.google.com/maps/place/ABAN+ACCOUNTING/data=!4m7!3m6!1s0x54867f59a6071543:0x7d290c26336cb8f9!8m2!3d49.2786318!4d-122.7918524!16s%2Fg%2F11k3160wnm!19sChIJQxUHpll_hlQR-bhsMyYMKX0?authuser=0&hl=en&rclk=1","ABAN ACCOUNTING","4.9","(147)","Accounting firm","·","·","Open","⋅ Closes 5 p.m.","211-3030 Lincoln Ave","(604) 780-6710","http://www.abanaccounting.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They made things simple and stress-free, especially around tax time.""","","·"
"https://www.google.com/maps/place/BDG+Cloud+Accountants+LLP/data=!4m7!3m6!1s0x5485d9d6bd248661:0xbfd6fbce5e528388!8m2!3d49.283398!4d-123.117535!16s%2Fg%2F11b5zwp3zk!19sChIJYYYkvdbZhVQRiINSXs771r8?authuser=0&hl=en&rclk=1","BDG Cloud Accountants LLP","5.0","(60)","Accounting firm","·","701 W Georgia St #1500","Open","⋅ Closes 5 p.m.","·","(604) 200-3067","http://bdgllp.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jerry has been amazing with helping with my taxes and accounting.""","",""
"https://www.google.com/maps/place/CHC+Strategic+CPA/data=!4m7!3m6!1s0x537d8d3bba5c7765:0xf5aaf85555ac6a2e!8m2!3d49.8811211!4d-119.4611112!16s%2Fg%2F11c37l2k32!19sChIJZXdcujuNfVMRLmqsVVX4qvU?authuser=0&hl=en&rclk=1","CHC Strategic CPA","4.8","(81)","Certified public accountant","·","·","Open","⋅ Closes 5 p.m.","1632 Dickson Ave","(778) 262-2511","https://chcstrategic.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He helped us navigate some tricky taxes and was a breeze to work with.""","","·"
"https://www.google.com/maps/place/Finsight+CPA/data=!4m7!3m6!1s0x5486710007d5a1c3:0x52841c4c013ff37e!8m2!3d49.321936!4d-123.07175!16s%2Fg%2F11x5gz2n56!19sChIJw6HVBwBxhlQRfvM_AUwchFI?authuser=0&hl=en&rclk=1","Finsight CPA","5.0","(3)","Accounting firm","·","117 East 15th Street","Open","⋅ Closes 5 p.m.","·","(604) 961-5758","https://www.google.com/aclk?sa=L&ai=DChsSEwjq2rjQo96QAxXuVH8AHUorBqMYACICCAEQARoCb2E&co=1&ase=2&gclid=Cj0KCQiAq7HIBhDoARIsAOATDxDqaCsV4dZV0pQWEyByw0YjAAscGmsLvfnDjQ640uRPCiTMJ2nXJNIaAt6tEALw_wcB&cid=CAASmAHkaFv1xM85fPFm6i9XuygVlZ6ZDvqklOksLGOUGbTXIdOxrMSXiX7OvuHEMrop6ug5EFki-yepB98VROdz4zB_eVvE1WREu8wfeCfJGhkM0rEho5SRQQ-YDP-l422tt5ee3C58TvW_0NMJ49MsNG-3RimFOkRVQVXEZNQH9FnnVkGx-OhBqNU_XvQjD-2yKQ_W8qzgqbY6ow&cce=2&category=acrcp_v1_32&sig=AOD64_03S74-vAC2-C4C2VZ9U7z7h9rw5A&adurl&q&ctype=99&nis=6","","Website","","Directions","","","",""
"https://www.google.com/maps/place/Khosh+%26+Company,+Chartered+Accountant+Inc./data=!4m7!3m6!1s0x54867183ba93931b:0xd6cbe2dc3ce98be7!8m2!3d49.288273!4d-123.119948!16s%2Fg%2F1ptyjpxs6!19sChIJG5OTuoNxhlQR54vpPNziy9Y?authuser=0&hl=en&rclk=1","Khosh & Company, Chartered Accountant Inc.","4.3","(31)","Certified public accountant","·","1111 West Hastings Street","Open","⋅ Closes 6 p.m.","·","(604) 685-1611","https://www.google.com/aclk?sa=L&ai=DChsSEwjq2rjQo96QAxXuVH8AHUorBqMYACICCAEQABoCb2E&co=1&ase=2&gclid=Cj0KCQiAq7HIBhDoARIsAOATDxBqSrEccpyCXAxjGySgdBa-VwJlEOpcDco-PijG1nTj2WRP3MBBd3kaAo34EALw_wcB&cid=CAASmAHkaFv1xM85fPFm6i9XuygVlZ6ZDvqklOksLGOUGbTXIdOxrMSXiX7OvuHEMrop6ug5EFki-yepB98VROdz4zB_eVvE1WREu8wfeCfJGhkM0rEho5SRQQ-YDP-l422tt5ee3C58TvW_0NMJ49MsNG-3RimFOkRVQVXEZNQH9FnnVkGx-OhBqNU_XvQjD-2yKQ_W8qzgqbY6ow&cce=2&category=acrcp_v1_32&sig=AOD64_2euLMM4vCsNCPCN4MXdvv0tu2acQ&adurl&q&ctype=99&nis=6","","Website","","Directions","","","",""
"https://www.google.com/maps/place/Pivot+Advantage+Accounting+and+Advisory+Inc./data=!4m7!3m6!1s0x548671efbaca7183:0x1b73d57aa44a2067!8m2!3d49.2853911!4d-123.1215501!16s%2Fg%2F11j6c3337m!19sChIJg3HKuu9xhlQRZyBKpHrVcxs?authuser=0&hl=en&rclk=1","Pivot Advantage Accounting and Advisory Inc.","5.0","(138)","Accountant","·","1055 W Georgia St #2180","Open","⋅ Closes 5 p.m.","·","(778) 807-7497","https://www.pivotadvantage.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He give us practical advises to our taxation issues.""","",""
"https://www.google.com/maps/place/Finsight+CPA/data=!4m7!3m6!1s0x5486710007d5a1c3:0x52841c4c013ff37e!8m2!3d49.321936!4d-123.07175!16s%2Fg%2F11x5gz2n56!19sChIJw6HVBwBxhlQRfvM_AUwchFI?authuser=0&hl=en&rclk=1","Finsight CPA","5.0","(3)","Accounting firm","·","117 East 15th Street","Open","⋅ Closes 5 p.m.","·","(604) 961-5758","https://www.google.com/aclk?sa=L&ai=DChsSEwizi6fSo96QAxV2K9QBHYdCL4wYACICCAEQABoCb2E&co=1&ase=2&gclid=Cj0KCQiAq7HIBhDoARIsAOATDxBuMCyd4f2FvZ3QJc5cRsozIIy6z5ZVF1Cny4RAx34ZGycnOgnVR8UaAvihEALw_wcB&cid=CAASmAHkaHnJZGQU3JDeZkXzYYepXwhtVMI0eQaix9s2BVedbLLftBofX-ZUylbA2i6hvrh3TLI0BuW7K8sPTyAIYbr7sxAo9XZ-3ht6oPZSPUooX9LnAdXe0tdRwv8Ssg2qJ8wLow1A6VYebpfJ8Esm4L-xx3AQ_3vnUfnMPkNl7gfnyinLktZo5vrQB_cCY6OLvowr8r4TaHCXmw&cce=2&category=acrcp_v1_32&sig=AOD64_11O0TJDjr798q-Wt20lOB-ng5ACw&adurl&q&ctype=99&nis=6","","Website","","Directions","","","",""
"https://www.google.com/maps/place/Bouchard+%26+Company/data=!4m7!3m6!1s0x5485d95e2ca26829:0x16f6ce07379063b5!8m2!3d49.1333405!4d-122.8898814!16s%2Fg%2F11cn1xhjx7!19sChIJKWiiLF7ZhVQRtWOQNwfO9hY?authuser=0&hl=en&rclk=1","Bouchard & Company","4.8","(102)","Certified public accountant","·","250, 7164 120 St","Open 24 hours","","·","(604) 591-3193","http://www.bouchardco.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He helped maximize my tax efficiency for filing my taxes as well.""","",""
"https://www.google.com/maps/place/Finsight+CPA/data=!4m7!3m6!1s0x5486710007d5a1c3:0x52841c4c013ff37e!8m2!3d49.321936!4d-123.07175!16s%2Fg%2F11x5gz2n56!19sChIJw6HVBwBxhlQRfvM_AUwchFI?authuser=0&hl=en&rclk=1","Finsight CPA","5.0","(3)","Accounting firm","·","117 East 15th Street","Open","⋅ Closes 5 p.m.","·","(604) 961-5758","https://www.google.com/aclk?sa=L&ai=DChsSEwilx9rTo96QAxVAUH8AHULTDo8YACICCAEQABoCb2E&co=1&ase=2&gclid=Cj0KCQiAq7HIBhDoARIsAOATDxCP5w_YJMYC7ugSMtbEAYxgvKNhlf1656KrLOXfhxaCTX66d-IvAPIaAi4ZEALw_wcB&cid=CAASmAHkaNGxDXUs7o7BNRKj8EHKKwuPOatO6YHPKsxxBOZtH55AbgyjsA8tzMsEbUHf7-DsNtX7ZjW_Mp9jTnGS8jRXHioCF2CSrhXoqf-XuiZpEVar1cI2uUuMENccaytf_Zbe8v-TQZyXl4rfxncRo1C552VaRetSPPtHpgZJLpGHD7Q5ZrDun0wDIiYymzW3xMeIII_LBBovEw&cce=2&category=acrcp_v1_32&sig=AOD64_3eVp9X-r0vPjo3Zbp9N2Ffkk8EoA&adurl&q&ctype=99&nis=6","","Website","","Directions","","","",""
"https://www.google.com/maps/place/Amy+Lee+CPA+Inc/data=!4m7!3m6!1s0x5485d1e908a5df1b:0xf8be3a8edaf380b1!8m2!3d49.1553101!4d-122.6671903!16s%2Fg%2F11rn3szn0n!19sChIJG9-lCOnRhVQRsYDz2o46vvg?authuser=0&hl=en&rclk=1","Amy Lee CPA Inc","4.8","(28)","Chartered accountant","·","20020 84 Ave B305","Open","⋅ Closes 5 p.m.","·","(604) 371-0275","http://www.amyleecpa.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The kindest and most reliable","",""
"https://www.google.com/maps/place/M.+Saini+CPA+Inc./data=!4m7!3m6!1s0x537df4a8bb15b55b:0x976957ac87579d2f!8m2!3d49.8842602!4d-119.4958819!16s%2Fg%2F11dxpfl9mt!19sChIJW7UVu6j0fVMRL51Xh6xXaZc?authuser=0&hl=en&rclk=1","M. Saini CPA Inc.","5.0","(66)","Accountant","·","105M, 347 Leon Ave","Open","⋅ Closes 5 p.m.","·","(250) 410-4456","https://www.sainicpa.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""His help to us in invaluable and his  knowledge of quickbooks is priceless.""","",""
"https://www.google.com/maps/place/Ohlmann+%26+Associates/data=!4m7!3m6!1s0x417348a69e1b6c3f:0x2afc0405ac25f3d4!8m2!3d49.8875616!4d-119.4917207!16s%2Fg%2F1v1kpjwm!19sChIJP2wbnqZIc0ER1PMlrAUE_Co?authuser=0&hl=en&rclk=1","Ohlmann & Associates","4.9","(35)","Accountant","·","1449 St Paul St #100","Open","⋅ Closes 5:30 p.m.","·","(250) 763-3066","http://www.ohlmanncpa.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The communication is amazing and prices are reasonable.""","",""
"https://www.google.com/maps/place/Prechel+CPAs+-+Kelowna+Accountants/data=!4m7!3m6!1s0x537ded84c1b5bed7:0xbaa32633920e7e9e!8m2!3d49.9542992!4d-119.397513!16s%2Fg%2F1tk6_535!19sChIJ1761wYTtfVMRnn4OkjMmo7o?authuser=0&hl=en&rclk=1","Prechel CPAs - Kelowna Accountants","5.0","(20)","Accountant","·","·","Open","⋅ Closes 5 p.m.","#3, 3185 Via Centrale","(250) 765-0266","http://www.kelownaaccountants.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mike is extremely knowledgeable and provided sound, practical guidance.""","","·"
"https://www.google.com/maps/place/Creekside+Accounting+Ltd.+%7C+Kelowna+Accountant/data=!4m7!3m6!1s0x537df337a4d88d21:0x6a23b1b6dd87a614!8m2!3d49.8795672!4d-119.457247!16s%2Fg%2F11g698t1yv!19sChIJIY3YpDfzfVMRFKaH3baxI2o?authuser=0&hl=en&rclk=1","Creekside Accounting Ltd. | Kelowna Accountant","4.9","(92)","Accountant","·","·","Open","⋅ Closes 4 p.m.","225, 1855 Kirschner Rd","(236) 420-4801","http://www.creeksideaccounting.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They were able to lessen my ""tax season"" anxiety!""","","·"
"https://www.google.com/maps/place/MHL+CPA+Professional+Corporation/data=!4m7!3m6!1s0x537df4af2d4352d7:0x3f2e1d377c8cd375!8m2!3d49.8842515!4d-119.4959126!16s%2Fg%2F11c2l9lf4_!19sChIJ11JDLa_0fVMRddOMfDcdLj8?authuser=0&hl=en&rclk=1","MHL CPA Professional Corporation","5.0","(24)","Accountant","·","·","Open","⋅ Closes 5 p.m.","210-347 Leon Ave","+1 833-317-2328","https://mhlcpa.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Min is very professional, prompt service and excellent communication!!""","","·"
"https://www.google.com/maps/place/PDC+Accounting+Evolved+-+Chartered+Professional+Accountants/data=!4m7!3m6!1s0x537df4a77d44cf45:0xd96a999167cf00b4!8m2!3d49.8662253!4d-119.490866!16s%2Fg%2F1hc204_l8!19sChIJRc9Efaf0fVMRtADPZ5GZatk?authuser=0&hl=en&rclk=1","PDC Accounting Evolved - Chartered Professional Accountants","4.7","(59)","Accountant","·","·","Open","⋅ Closes 4 p.m.","550 Osprey Ave #501","(778) 721-0301","http://pdco.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He doesn't just crunch numbers and prepare tax documents;""","","·"
"https://www.google.com/maps/place/Darren+Moffatt,+CPA,+CMA/data=!4m7!3m6!1s0x54826277a5fa4ec9:0x14b4a55bba9df8c4!8m2!3d49.493391!4d-119.5907948!16s%2Fg%2F11g0msf2b8!19sChIJyU76pXdiglQRxPidulultBQ?authuser=0&hl=en&rclk=1","Darren Moffatt, CPA, CMA","5.0","(12)","Certified public accountant","·","·","Open","⋅ Closes 5 p.m.","660 Martin St","(778) 476-0313","https://www.pentictonaccountants.ca/about_us.html","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Special thanks to Isaac for the consistent service as well as guidance.""","","·"
"https://www.google.com/maps/place/MBA+Chartered+Professional+Accountants+Inc./data=!4m7!3m6!1s0x537df4a77f188faf:0x5cf0be4bdb690952!8m2!3d49.8899939!4d-119.4930727!16s%2Fg%2F1hjh8sglv!19sChIJr48Yf6f0fVMRUglp20u-8Fw?authuser=0&hl=en&rclk=1","MBA Chartered Professional Accountants Inc.","5.0","(11)","Certified public accountant","·","·","Open","⋅ Closes 4 p.m.","1353 Ellis St #206","(250) 763-4660","http://www.mbacpa.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They know how to navigate complex tax situations with ease.""","","·"
"https://www.google.com/maps/place/Long-Haggerty+Chartered+Professional+Accountants+Inc./data=!4m7!3m6!1s0x54826309408098eb:0x10c312de0156ad31!8m2!3d49.4949474!4d-119.5939527!16s%2Fg%2F11lgy46jtv!19sChIJ65iAQAljglQRMa1WAd4SwxA?authuser=0&hl=en&rclk=1","Long-Haggerty Chartered Professional Accountants Inc.","5.0","(9)","Certified public accountant","·","·","Open","⋅ Closes 4:30 p.m.","479 Winnipeg St","(250) 770-0184","http://www.pentictoncpa.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Jane and her team are always a pleasure to deal with.""","","·"
